Tim Riggins
The Bride
Lisbeth Salander
Violet Weston
Bernie Mac
Wilhelmina
Truman
Game Boys: Nathan Drake
Christopher Boone
Hancock
Marge Gunderson
Wikus van de Merwe
Napoleon Dynamite
Tony Stark
Karen Walker and Jack McFarland
Daniel Plainview
Dr. Gregory House
Jen Yu
Tracy Flick
Amanda Woodward
"Gorillaz, the animated rock"
Elphaba
Patty Hewes
Mimi Marquez
Tyler Durden
David Brent
Don Draper
Catherine Trammell
Kara “Starbuck” Thrace
Det. Alonzo Harris
Mary Katherine Gallagher
Miranda Priestly
Effie White
Borat
Allie and Noah
Lorelai and Rory Gilmore
Maximus
John Locke
Jimmy Corrigan
Vic Mackey
Mary Jones
Master Chief
Thelma and Louise
Clayton Bigsby
Barney Stinson
Tracy Jordan
Juno
Edward Cullen
Annie Wilkes
Omar Little
Pearl the Landlord
Vivian Ward
Red
Corky St.
Jerry Maguire
Stewie Griffin
Jack Bauer
Cal Stephanides
Sydney Bristow
Harold and Kumar
Ron Burgundy
Gob Bluth
Elmo
Keyser Söze
Gollum
Dexter Morgan
Cher
Sarah Connor
Beavis and Butt-Head
Forrest Gump
“Stephen Colbert”
Vincent Vega and Jules Winnfield
Madea
Frasier
Kavalier and Clay
Woody
Felicity Porter
Austin Powers
Eric Cartman
Ally McBeal
Morpheus
Lara Croft
Bridget Jones
Shrek 
Jeff “The Dude” Lebowski
Jack Sparrow
Fox Mulder and Dana Scully
Cosmo Kramer
SpongeBob SquarePants
Carrie Bradshaw
Hannibal Lecter
Edward Scissorhands
Rachel Green
The Joker
Tony Soprano
Homer Simpson
